,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
324,Aircraft Mfg & Dev. Co.,1,0,1,1.0
325,Kenney,1,0,1,1.0
326,Hiller,1,0,1,1.0
327,Bordelon,1,0,1,1.0
328,Artic Aircraft Corp.,1,0,1,1.0
329,"Weaver, David A",1,0,1,1.0
330,"Allied Ag Cat Productions, Inc",1,0,1,1.0
331,Iniziative Industriali Italian,1,0,1,1.0
332,Velocity Inc,1,0,1,1.0
333,White,1,0,1,1.0
334,Classic Aircraft Corp.,1,0,1,1.0
335,Gallagher,1,0,1,1.0
336,Grahn J/Grahn G,1,0,1,1.0
337,William K. Crawford,1,0,1,1.0
338,Brown Joseph B Jr,1,0,1,1.0
339,James B. Taplin,1,0,1,1.0
340,Underland/Grothe/Finstrom,1,0,1,1.0
341,Price,1,0,1,1.0
342,Griffiths James Sydney,1,0,1,1.0
343,Mcfarland Wm H,1,0,1,1.0
344,Miller,1,0,1,1.0
345,Vicari,1,0,1,1.0
346,Ludwig Larry E,1,0,1,1.0
347,Aviocar Casa,1,0,1,1.0
348,Owen,1,0,1,1.0
349,Von Berg,1,0,1,1.0
350,Dacey,1,0,1,1.0
351,M7Aero,1,0,1,1.0
352,Vertical Unlimited Llc,1,0,1,1.0
353,Coot,1,0,1,1.0
354,Suminski Walter M,1,0,1,1.0
355,Aircraft Mfg & Design Llc,1,0,1,1.0
356,Robertson,1,0,1,1.0
357,Aerosport Ltd,1,0,1,1.0
358,Shannon James A Jr,1,0,1,1.0
359,Morrison,1,0,1,1.0
360,Piaggio Aero Industries Spa,1,0,1,1.0
361,Shook,1,0,1,1.0
362,M-Squared Aircraft,1,0,1,1.0
363,Ferguson Aircraft,1,0,1,1.0
364,Mas Events,1,0,1,1.0
365,Saville Hummer,1,0,1,1.0
366,Clamar Floats Inc,1,0,1,1.0
367,Lepow David A,1,0,1,1.0
368,Aveko Sro,1,0,1,1.0
369,Glenn H Curtiss Museum,1,0,1,1.0
370,Rans Inc.,1,0,1,1.0
371,Pridmore,1,0,1,1.0
372,Lawwill Ted,1,0,1,1.0
373,Skykits Corp,1,0,1,1.0
374,Klemme William H,1,0,1,1.0
375,Texas Air Ventures Inc,1,0,1,1.0
376,Warth Dennis J,1,0,1,1.0
377,Nord,1,0,1,1.0
378,Roach Neil,1,0,1,1.0
379,Wright B Flyer Inc,1,0,1,1.0
380,Kaman,0,1,1,0.0
381,Sutphin John E,0,1,1,0.0
382,Pepperd Greg J,0,1,1,0.0
383,Sorrel,0,1,1,0.0
384,Marquart,0,1,1,0.0
385,777,0,1,1,0.0
386,Aficionado,0,1,1,0.0
387,Harbin,0,1,1,0.0
388,Columbia,0,1,1,0.0
389,Gulfstream Aerospace Lp,0,1,1,0.0
390,Facebook Uk Ltd,0,1,1,0.0
391,Kitfox,0,1,1,0.0
392,Short Brothers & Harland Ltd.,0,1,1,0.0
393,Saab-Scania Ab,0,1,1,0.0
394,University Of Kansas,0,1,1,0.0
395,Nunn,0,1,1,0.0
396,Moyes,1,0,1,1.0
397,Raytheon Co,0,1,1,0.0
398,Piaggio Industrie,0,1,1,0.0
399,Short Bros.,0,1,1,0.0
400,Fairchild/Swearingen,0,1,1,0.0
401,Bac,0,1,1,0.0
402,Hitchcock,1,0,1,1.0
403,Richard,1,0,1,1.0
404,Keesler,1,0,1,1.0
405,Bosonetto,1,0,1,1.0
406,Schaffer Gary W,1,0,1,1.0
407,"Wingtip To Wingtip, Llc",1,0,1,1.0
408,Mustang,1,0,1,1.0
409,Andrew Mckimmon,1,0,1,1.0
410,Dixon,1,0,1,1.0
411,American Champion Aircraft Cor,1,0,1,1.0
412,Thompson,1,0,1,1.0
413,Giboney,1,0,1,1.0
414,Yuneec,1,0,1,1.0
415,Southern Airmotive Corp Sac,1,0,1,1.0
416,Adolphson,1,0,1,1.0
417,Ultramagic Sa,1,0,1,1.0
418,Peay,1,0,1,1.0
419,Rogers,1,0,1,1.0
420,Marino,1,0,1,1.0
421,Millhouse D Scott,1,0,1,1.0
422,Nasa Ames Research Center,1,0,1,1.0
423,Citabria,1,0,1,1.0
424,Interstate,1,0,1,1.0
425,Tyler Ives,1,0,1,1.0
426,Taylor,1,0,1,1.0
427,Pzl Okecie,1,0,1,1.0
428,Bae Systems (Operations) Limit,1,0,1,1.0
429,Dauntless,1,0,1,1.0
430,Andrews,1,0,1,1.0
431,Tomisin Thomas J,1,0,1,1.0
432,Aeropro Cz,1,0,1,1.0
433,Frederick,1,0,1,1.0
434,Schoepflin,1,0,1,1.0
435,Thorp,1,0,1,1.0
436,Cook,1,0,1,1.0
437,Fantasy Air Sro,1,0,1,1.0
438,Willerton,1,0,1,1.0
439,League,1,0,1,1.0
440,Rice Leo B,1,0,1,1.0
441,Murphy Aircraft,1,0,1,1.0
442,Volmer Aircraft,1,0,1,1.0
443,Czech Sport Aircraft A S,1,0,1,1.0
444,Rotherwick Hr,1,0,1,1.0
445,Arctic,1,0,1,1.0
446,Embraer Aircraft,1,0,1,1.0
447,Skykits Corporation,1,0,1,1.0
448,Hansen Ib C,1,0,1,1.0
449,Fisher,1,0,1,1.0
450,North American/Schwamm,1,0,1,1.0
451,Mercer,1,0,1,1.0
